"","Section","Latitude","Longitude","Date","Depth_cm","Velocity_0.6_ms","coord_code","Species","Abundance","Year","Source"
"1","4","34.03305","-117.3561","9/20/16",18,0.74,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"2","4","34.03305","-117.3561","9/20/16",18,0.74,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"3","4","34.03305","-117.3561","9/20/16",20,0.74,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"4","4","34.03305","-117.3561","9/20/16",20,0.74,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"5","4","34.03305","-117.3561","9/20/16",25,0.73,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"6","4","34.03305","-117.3561","9/20/16",25,0.73,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"7","4","34.03305","-117.3561","9/20/16",39,0.94,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"8","4","34.03305","-117.3561","9/20/16",39,0.94,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"9","4","34.03305","-117.3561","9/20/16",29,0.77,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"10","4","34.03305","-117.3561","9/20/16",29,0.77,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"11","4","34.03305","-117.3561","9/20/16",15,0.47,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"12","4","34.03305","-117.3561","9/20/16",15,0.47,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"13","4","34.03305","-117.3561","9/20/16",10,0.49,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"14","4","34.03305","-117.3561","9/20/16",10,0.49,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"15","4","34.03305","-117.3561","9/20/16",12,0.54,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"16","4","34.03305","-117.3561","9/20/16",12,0.54,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"17","4","34.03305","-117.3561","9/20/16",4,0,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"18","4","34.03305","-117.3561","9/20/16",4,0,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"19","4","34.03305","-117.3561","9/20/16",20,0.74,"34.03305_-117.3561","SantaAnaSucker",0,2016,"Wulff_etal"
"20","4","34.03305","-117.3561","9/20/16",20,0.74,"34.03305_-117.3561","ArroyoChub",0,2016,"Wulff_etal"
"21","4","34.03311","-117.35608","9/20/16",30,0.74,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"22","4","34.03311","-117.35608","9/20/16",30,0.74,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"23","4","34.03311","-117.35608","9/20/16",26,0.86,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"24","4","34.03311","-117.35608","9/20/16",26,0.86,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"25","4","34.03311","-117.35608","9/20/16",28,0.72,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"26","4","34.03311","-117.35608","9/20/16",28,0.72,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"27","4","34.03311","-117.35608","9/20/16",30,0.71,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"28","4","34.03311","-117.35608","9/20/16",30,0.71,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"29","4","34.03311","-117.35608","9/20/16",24,0.77,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"30","4","34.03311","-117.35608","9/20/16",24,0.77,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"31","4","34.03311","-117.35608","9/20/16",19,0.73,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"32","4","34.03311","-117.35608","9/20/16",19,0.73,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"33","4","34.03311","-117.35608","9/20/16",27,0.38,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"34","4","34.03311","-117.35608","9/20/16",27,0.38,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"35","4","34.03311","-117.35608","9/20/16",16,0.49,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"36","4","34.03311","-117.35608","9/20/16",16,0.49,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"37","4","34.03311","-117.35608","9/20/16",7,0,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"38","4","34.03311","-117.35608","9/20/16",7,0,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"39","4","34.03311","-117.35608","9/20/16",2,0,"34.03311_-117.35608","SantaAnaSucker",0,2016,"Wulff_etal"
"40","4","34.03311","-117.35608","9/20/16",2,0,"34.03311_-117.35608","ArroyoChub",0,2016,"Wulff_etal"
"41","4","34.03319","-117.35605","9/20/16",2,0,"34.03319_-117.35605","SantaAnaSucker",0,2016,"Wulff_etal"
"42","4","34.03319","-117.35605","9/20/16",2,0,"34.03319_-117.35605","ArroyoChub",0,2016,"Wulff_etal"
"43","4","34.03319","-117.35605","9/20/16",11,0.04,"34.03319_-117.35605","SantaAnaSucker",0,2016,"Wulff_etal"
"44","4","34.03319","-117.35605","9/20/16",11,0.04,"34.03319_-117.35605","ArroyoChub",0,2016,"Wulff_etal"
"45","4","34.03319","-117.35605","9/20/16",23,0.58,"34.03319_-117.35605","SantaAnaSucker",0,2016,"Wulff_etal"
"46","4","34.03319","-117.35605","9/20/16",23,0.58,"34.03319_-117.35605","ArroyoChub",0,2016,"Wulff_etal"
"47","4","34.03319","-117.35605","9/20/16",28,0.77,"34.03319_-117.35605","SantaAnaSucker",0,2016,"Wulff_etal"
"48","4","34.03319","-117.35605","9/20/16",28,0.77,"34.03319_-117.35605","ArroyoChub",0,2016,"Wulff_etal"
"49","4","34.03319","-117.35605","9/20/16",26,0.86,"34.03319_-117.35605","SantaAnaSucker",0,2016,"Wulff_etal"
"50","4","34.03319","-117.35605","9/20/16",26,0.86,"34.03319_-117.35605","ArroyoChub",0,2016,"Wulff_etal"
"51","4","34.03319","-117.35605","9/20/16",28,0.84,"34.03319_-117.35605","SantaAnaSucker",0,2016,"Wulff_etal"
"52","4","34.03319","-117.35605","9/20/16",28,0.84,"34.03319_-117.35605","ArroyoChub",0,2016,"Wulff_etal"
"53","4","34.03319","-117.35605","9/20/16",25,0.95,"34.03319_-117.35605","SantaAnaSucker",0,2016,"Wulff_etal"
"54","4","34.03319","-117.35605","9/20/16",25,0.95,"34.03319_-117.35605","ArroyoChub",0,2016,"Wulff_etal"
"55","4","34.03319","-117.35605","9/20/16",24,0.77,"34.03319_-117.35605","SantaAnaSucker",0,2016,"Wulff_etal"
"56","4","34.03319","-117.35605","9/20/16",24,0.77,"34.03319_-117.35605","ArroyoChub",0,2016,"Wulff_etal"
"57","4","34.03319","-117.35605","9/20/16",23,0.68,"34.03319_-117.35605","SantaAnaSucker",0,2016,"Wulff_etal"
