"","Section","Latitude","Longitude","Date","Depth_cm","Velocity_0.6_ms","coord_code","SantaAnaSucker","ArroyoChub"
"1",4,34.03305,-117.3561,"9/20/16",18,0.74,"34.03305_-117.3561",0,0
"2",4,34.03305,-117.3561,"9/20/16",20,0.74,"34.03305_-117.3561",0,0
"3",4,34.03305,-117.3561,"9/20/16",25,0.73,"34.03305_-117.3561",0,0
"4",4,34.03305,-117.3561,"9/20/16",39,0.94,"34.03305_-117.3561",0,0
"5",4,34.03305,-117.3561,"9/20/16",29,0.77,"34.03305_-117.3561",0,0
"6",4,34.03305,-117.3561,"9/20/16",15,0.47,"34.03305_-117.3561",0,0
"7",4,34.03305,-117.3561,"9/20/16",10,0.49,"34.03305_-117.3561",0,0
"8",4,34.03305,-117.3561,"9/20/16",12,0.54,"34.03305_-117.3561",0,0
"9",4,34.03305,-117.3561,"9/20/16",4,0,"34.03305_-117.3561",0,0
"10",4,34.03305,-117.3561,"9/20/16",20,0.74,"34.03305_-117.3561",0,0
"11",4,34.03311,-117.35608,"9/20/16",30,0.74,"34.03311_-117.35608",0,0
"12",4,34.03311,-117.35608,"9/20/16",26,0.86,"34.03311_-117.35608",0,0
"13",4,34.03311,-117.35608,"9/20/16",28,0.72,"34.03311_-117.35608",0,0
"14",4,34.03311,-117.35608,"9/20/16",30,0.71,"34.03311_-117.35608",0,0
"15",4,34.03311,-117.35608,"9/20/16",24,0.77,"34.03311_-117.35608",0,0
"16",4,34.03311,-117.35608,"9/20/16",19,0.73,"34.03311_-117.35608",0,0
"17",4,34.03311,-117.35608,"9/20/16",27,0.38,"34.03311_-117.35608",0,0
"18",4,34.03311,-117.35608,"9/20/16",16,0.49,"34.03311_-117.35608",0,0
"19",4,34.03311,-117.35608,"9/20/16",7,0,"34.03311_-117.35608",0,0
"20",4,34.03311,-117.35608,"9/20/16",2,0,"34.03311_-117.35608",0,0
"21",4,34.03319,-117.35605,"9/20/16",2,0,"34.03319_-117.35605",0,0
"22",4,34.03319,-117.35605,"9/20/16",11,0.04,"34.03319_-117.35605",0,0
"23",4,34.03319,-117.35605,"9/20/16",23,0.58,"34.03319_-117.35605",0,0
"24",4,34.03319,-117.35605,"9/20/16",28,0.77,"34.03319_-117.35605",0,0
"25",4,34.03319,-117.35605,"9/20/16",26,0.86,"34.03319_-117.35605",0,0
"26",4,34.03319,-117.35605,"9/20/16",28,0.84,"34.03319_-117.35605",0,0
"27",4,34.03319,-117.35605,"9/20/16",25,0.95,"34.03319_-117.35605",0,0
"28",4,34.03319,-117.35605,"9/20/16",24,0.77,"34.03319_-117.35605",0,0
"29",4,34.03319,-117.35605,"9/20/16",23,0.68,"34.03319_-117.35605",0,0
"30",4,34.03319,-117.35605,"9/20/16",11,0.41,"34.03319_-117.35605",0,0
"31",4,34.03329,-117.35601,"9/20/16",14,-0.09,"34.03329_-117.35601",0,0
"32",4,34.03329,-117.35601,"9/20/16",22,0.75,"34.03329_-117.35601",0,0
"33",4,34.03329,-117.35601,"9/20/16",25,0.81,"34.03329_-117.35601",0,0
"34",4,34.03329,-117.35601,"9/20/16",26,1.09,"34.03329_-117.35601",0,0
"35",4,34.03329,-117.35601,"9/20/16",27,1.11,"34.03329_-117.35601",0,0
"36",4,34.03329,-117.35601,"9/20/16",25,1,"34.03329_-117.35601",0,0
"37",4,34.03329,-117.35601,"9/20/16",20,0.85,"34.03329_-117.35601",0,0
"38",4,34.03329,-117.35601,"9/20/16",9,0.12,"34.03329_-117.35601",0,0
"39",4,34.03329,-117.35601,"9/20/16",2,0,"34.03329_-117.35601",0,0
"40",4,34.03329,-117.35601,"9/20/16",15,0.13,"34.03329_-117.35601",0,0
"41",4,34.03341,-117.35603,"9/20/16",11,0.54,"34.03341_-117.35603",0,0
"42",4,34.03341,-117.35603,"9/20/16",25,0.77,"34.03341_-117.35603",0,0
"43",4,34.03341,-117.35603,"9/20/16",26,0.96,"34.03341_-117.35603",0,0
"44",4,34.03341,-117.35603,"9/20/16",32,0.98,"34.03341_-117.35603",0,0
"45",4,34.03341,-117.35603,"9/20/16",31,0.91,"34.03341_-117.35603",0,0
"46",4,34.03341,-117.35603,"9/20/16",27,0.73,"34.03341_-117.35603",0,0
"47",4,34.03341,-117.35603,"9/20/16",14,0.49,"34.03341_-117.35603",0,0
"48",4,34.03341,-117.35603,"9/20/16",2,0,"34.03341_-117.35603",0,0
"49",4,34.03341,-117.35603,"9/20/16",6,0.02,"34.03341_-117.35603",0,0
"50",4,34.03341,-117.35603,"9/20/16",12,0.21,"34.03341_-117.35603",0,0
"51",4,34.0335,-117.35602,"9/20/16",27,0.26,"34.0335_-117.35602",0,0
"52",4,34.0335,-117.35602,"9/20/16",23,0.79,"34.0335_-117.35602",0,0
"53",4,34.0335,-117.35602,"9/20/16",46,1.16,"34.0335_-117.35602",0,0
"54",4,34.0335,-117.35602,"9/20/16",44,0.92,"34.0335_-117.35602",0,0
"55",4,34.0335,-117.35602,"9/20/16",43,0.66,"34.0335_-117.35602",0,0
"56",4,34.0335,-117.35602,"9/20/16",31,0.51,"34.0335_-117.35602",0,0
"57",4,34.0335,-117.35602,"9/20/16",19,0.38,"34.0335_-117.35602",0,0
