"","Section","Latitude","Longitude","Date","Depth_cm","Velocity_0.6_ms","Velocity_0.2_ms","Velocity_0.8_ms","coord_code","SantaAnaSucker","ArroyoChub","Yellowbullhead","WesternMisquitofish"
"1","Rialto Drain","34.04506","-117.35378","9/12/2015",53,0,NA,NA,"34.04506_-117.35378",0,0,0,0
"2","Rialto Drain","34.04506","-117.35378","9/12/2015",41,0,NA,NA,"34.04506_-117.35378",0,0,0,0
"3","Rialto Drain","34.04506","-117.35378","9/12/2015",47,0.06,NA,NA,"34.04506_-117.35378",0,0,0,0
"4","Rialto Drain","34.04506","-117.35378","9/12/2015",48,0.11,NA,NA,"34.04506_-117.35378",0,0,0,0
"5","Rialto Drain","34.04506","-117.35378","9/12/2015",45,0.09,NA,NA,"34.04506_-117.35378",0,0,0,0
"6","Rialto Drain","34.04506","-117.35378","9/12/2015",35,0.11,NA,NA,"34.04506_-117.35378",0,0,0,0
"7","Rialto Drain","34.04506","-117.35378","9/12/2015",42,0.11,NA,NA,"34.04506_-117.35378",0,0,0,0
"8","Rialto Drain","34.04506","-117.35378","9/12/2015",39,0.1,NA,NA,"34.04506_-117.35378",0,0,0,0
"9","Rialto Drain","34.04506","-117.35378","9/12/2015",34,0.06,NA,NA,"34.04506_-117.35378",0,0,0,0
"10","Rialto Drain","34.04506","-117.35378","9/12/2015",32,0.03,NA,NA,"34.04506_-117.35378",0,0,0,0
"11","Rialto Drain","34.04506","-117.35378","9/12/2015",37,0.04,NA,NA,"34.04506_-117.35378",0,0,0,0
"12","Rialto Drain","34.04506","-117.35378","9/12/2015",40,0.07,NA,NA,"34.04506_-117.35378",0,0,0,0
"13","Rialto Drain","34.04506","-117.35378","9/12/2015",41,0.08,NA,NA,"34.04506_-117.35378",0,0,0,0
"14","Rialto Drain","34.04506","-117.35378","9/12/2015",43,0.18,NA,NA,"34.04506_-117.35378",0,0,0,0
"15","Rialto Drain","34.04506","-117.35378","9/12/2015",41,0.13,NA,NA,"34.04506_-117.35378",0,0,0,0
"16","Rialto Drain","34.04506","-117.35378","9/12/2015",41,0.16,NA,NA,"34.04506_-117.35378",0,0,0,0
"17","Rialto Drain","34.04506","-117.35378","9/12/2015",40,0.08,NA,NA,"34.04506_-117.35378",0,0,0,0
"18","Rialto Drain","34.04506","-117.35378","9/12/2015",42,0.07,NA,NA,"34.04506_-117.35378",0,0,0,0
"19","Rialto Drain","34.04506","-117.35378","9/12/2015",40,0.02,NA,NA,"34.04506_-117.35378",0,0,0,0
"20","Rialto Drain","34.04506","-117.35378","9/12/2015",2,0,NA,NA,"34.04506_-117.35378",0,0,0,0
"21","Rialto Drain","34.04506","-117.35378","9/12/2015",32,0.03,NA,NA,"34.04506_-117.35378",0,0,0,0
"22","Rialto Drain","34.04506","-117.35378","9/12/2015",34,0.02,NA,NA,"34.04506_-117.35378",0,0,0,0
"23","Rialto Drain","34.04506","-117.35378","9/12/2015",25,0.12,NA,NA,"34.04506_-117.35378",0,0,0,0
"24","Rialto Drain","34.04506","-117.35378","9/12/2015",38,0.14,NA,NA,"34.04506_-117.35378",0,0,0,0
"25","Rialto Drain","34.04506","-117.35378","9/12/2015",39,0.2,NA,NA,"34.04506_-117.35378",0,0,0,0
"26","Rialto Drain","34.04506","-117.35378","9/12/2015",32,0.09,NA,NA,"34.04506_-117.35378",0,0,0,0
"27","Rialto Drain","34.04506","-117.35378","9/12/2015",42,0.16,NA,NA,"34.04506_-117.35378",0,0,0,0
"28","Rialto Drain","34.04506","-117.35378","9/12/2015",42,0.08,NA,NA,"34.04506_-117.35378",0,0,0,0
"29","Rialto Drain","34.04506","-117.35378","9/12/2015",40,0.03,NA,NA,"34.04506_-117.35378",0,0,0,0
"30","Rialto Drain","34.04506","-117.35378","9/12/2015",2,0,NA,NA,"34.04506_-117.35378",0,0,0,0
"31","Rialto Drain","34.04506","-117.35378","9/12/2015",35,0.05,NA,NA,"34.04506_-117.35378",0,0,0,0
"32","Rialto Drain","34.04506","-117.35378","9/12/2015",38,0.06,NA,NA,"34.04506_-117.35378",0,0,0,0
"33","Rialto Drain","34.04506","-117.35378","9/12/2015",32,0.06,NA,NA,"34.04506_-117.35378",0,0,0,0
"34","Rialto Drain","34.04506","-117.35378","9/12/2015",32,0.21,NA,NA,"34.04506_-117.35378",0,0,0,0
"35","Rialto Drain","34.04506","-117.35378","9/12/2015",32,0.2,NA,NA,"34.04506_-117.35378",0,0,0,0
"36","Rialto Drain","34.04506","-117.35378","9/12/2015",33,0.21,NA,NA,"34.04506_-117.35378",0,0,0,0
"37","Rialto Drain","34.04506","-117.35378","9/12/2015",31,0.14,NA,NA,"34.04506_-117.35378",0,0,0,0
"38","Rialto Drain","34.04506","-117.35378","9/12/2015",18,0.09,NA,NA,"34.04506_-117.35378",0,0,0,0
"39","Rialto Drain","34.04506","-117.35378","9/12/2015",20,0.08,NA,NA,"34.04506_-117.35378",0,0,0,0
"40","Rialto Drain","34.04506","-117.35378","9/12/2015",4,0.01,NA,NA,"34.04506_-117.35378",0,0,0,0
