"","water_year","days_per_water_year","suitablility"
"1",1993,0,"No"
"2",1994,0,"No"
"3",1995,0,"No"
"4",1996,0,"No"
"5",1997,0,"No"
"6",1998,0,"No"
"7",1999,0,"No"
"8",2000,0,"No"
"9",2001,0,"No"
"10",2002,0,"No"
"11",2003,0,"No"
"12",2004,0,"No"
"13",2005,0,"No"
"14",2006,0,"No"
"15",2007,0,"No"
"16",2008,0,"No"
"17",2009,0,"No"
"18",2010,0,"No"
"19",2011,0,"No"
"20",2012,0,"No"
"21",2013,0,"No"
"22",2014,0,"No"
"23",2015,0,"No"
"24",2016,0,"No"
"25",2017,0,"No"
"26",2018,0,"No"
