"date","q.cms","av.depth.m_slice1","max.depth.m_slice1","av.vel.ms_slice1","total.shear.Pa_slice1","total.power.watt.ms_slice1","av.depth.m_slice2","max.depth.m_slice2","av.vel.ms_slice2","total.shear.Pa_slice2","total.power.watt.ms_slice2","av.depth.m_slice3","max.depth.m_slice3","av.vel.ms_slice3","total.shear.Pa_slice3","total.power.watt.ms_slice3","av.depth.m_slice4","max.depth.m_slice4","av.vel.ms_slice4","total.shear.Pa_slice4","total.power.watt.ms_slice4"
"07/01/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/02/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/03/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/04/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/05/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/06/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/07/2000",7.05921277771013e-05,0,0,0,0,0,0,0,0,0,0,0.000199330478394373,0.000310328803809028,0.00176822829294473,0.0196635944627223,0.00466777535912383,0,0,0,0,0
"07/08/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/09/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/10/2000",0.0208702173022282,0,0,0,0,0,0,0,0,0,0,0.0322552252755446,0.0539351312158113,0.26547661446488,3.25622103913838,0.905914779015674,0,0,0,0,0
"07/11/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/12/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/13/2000",0.0325843350933181,0,0,0,0,0,0,0,0,0,0,0.0379053989639954,0.0665547234440677,0.294362632421731,3.88999330822542,1.19305154674696,0,0,0,0,0
"07/14/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/15/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/16/2000",0.0371264972124922,0,0,0,0,0,0,0,0,0,0,0.0400962600558958,0.0714479842769244,0.305563217807444,4.1357392059677,1.3043891457596,0,0,0,0,0
"07/17/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/18/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/19/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/20/2000",0.0179877354608987,0,0,0,0,0,0,0,0,0,0,0.0308648924013348,0.0508298401395511,0.258368659455902,3.10026929870333,0.835259307240151,0,0,0,0,0
"07/21/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/22/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/23/2000",0.0268029843620928,0,0,0,0,0,0,0,0,0,0,0.0351168291059971,0.0603264875617131,0.280106313336051,3.57720323417446,1.05133892342439,0,0,0,0,0
"07/24/2000",0.00262127228730245,0,0,0,0,0,0,0,0,0,0,0.00740166751567161,0.0115233287193844,0.0656589901434257,0.730161235494134,0.173326836539888,0,0,0,0,0
"07/25/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/26/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/27/2000",0.0173732211400069,0,0,0,0,0,0,0,0,0,0,0.030568488292293,0.050167825271135,0.256853319417104,3.06702205443929,0.820196315816273,0,0,0,0,0
"07/28/2000",6.46895128867016e-05,0,0,0,0,0,0,0,0,0,0,0.000182663307607338,0.00028438042293479,0.00162037652844604,0.0180194079347155,0.00427747574346693,0,0,0,0,0
"07/29/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/30/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/31/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/01/2000",0.00325620487071956,0,0,0,0,0,0,0,0,0,0,0.00919452203905885,0.0143145446143545,0.0815631113742749,0.907023121155164,0.215310592532303,0,0,0,0,0
"08/02/2000",5.33103463682263e-05,0,0,0,0,0,0,0,0,0,0,0.000150532037771997,0.000234356670354723,0.00133534525340598,0.0148497157496378,0.00352504916624261,0,0,0,0,0
"08/03/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
