"date","q.cms","av.depth.m_slice1","max.depth.m_slice1","av.vel.ms_slice1","total.shear.Pa_slice1","total.power.watt.ms_slice1","av.depth.m_slice2","max.depth.m_slice2","av.vel.ms_slice2","total.shear.Pa_slice2","total.power.watt.ms_slice2","av.depth.m_slice3","max.depth.m_slice3","av.vel.ms_slice3","total.shear.Pa_slice3","total.power.watt.ms_slice3","av.depth.m_slice4","max.depth.m_slice4","av.vel.ms_slice4","total.shear.Pa_slice4","total.power.watt.ms_slice4"
"07/01/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/02/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/03/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/04/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/05/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/06/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/07/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/08/2000",0.00380703912093264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120579408370404,0.0314817040074219,0.155756755099175,1.65225720950209,0.295580761742793
"07/09/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/10/2000",0.018963420332043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242964632987407,0.0552879429525033,0.264353096837772,3.69265299437,1.03701350450116
"07/11/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/12/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/13/2000",0.0321917014098945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314615288031174,0.0643686278079238,0.32527127696918,4.75362040630044,1.6776837459666
"07/14/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/15/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/16/2000",0.036716820998621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339125485597697,0.0674749410678617,0.346110118281961,5.11655527217393,1.89684369898752
"07/17/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/18/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/19/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/20/2000",0.0197552425183564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247253518141392,0.055831497152261,0.26799955447607,3.75616068148201,1.07536292483155
"07/21/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/22/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/23/2000",0.0310255990343964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308299123552902,0.0635681452570364,0.319901204006247,4.66009377104852,1.62120724035813
"07/24/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/25/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/26/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/27/2000",0.0227855355376656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263667024819263,0.0579116718753398,0.281954499560379,3.9992037588982,1.22212564849656
"07/28/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/29/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/30/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/31/2000",0.00617791730627756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142859580592451,0.036248695712135,0.175763839264919,2.03562225619288,0.41213583949227
"08/01/2000",0.00925933791709968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171817028647798,0.042444335193454,0.20176696413732,2.5338802281308,0.563621993902587
"08/02/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/03/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/04/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
