"date","q.cms","av.depth.m_slice1","max.depth.m_slice1","av.vel.ms_slice1","total.shear.Pa_slice1","total.power.watt.ms_slice1","av.depth.m_slice2","max.depth.m_slice2","av.vel.ms_slice2","total.shear.Pa_slice2","total.power.watt.ms_slice2","av.depth.m_slice3","max.depth.m_slice3","av.vel.ms_slice3","total.shear.Pa_slice3","total.power.watt.ms_slice3","av.depth.m_slice4","max.depth.m_slice4","av.vel.ms_slice4","total.shear.Pa_slice4","total.power.watt.ms_slice4"
"07/01/2000",9.13905698069076e-05,0,0,0,0,0,0.0195444583509863,0.0195444583509863,0.138471187993867,1.28810360687869,0.190222267199873,0,0,0,0,0,0,0,0,0,0
"07/02/2000",8.38099211438862e-05,0,0,0,0,0,0.0187527768669426,0.0187527768669426,0.134581512523997,1.2359267822882,0.178548716298052,0,0,0,0,0,0,0,0,0,0
"07/03/2000",7.69765218954147e-05,0,0,0,0,0,0.0180391340246774,0.0180391340246774,0.13107525512913,1.1888931985154,0.168025865615285,0,0,0,0,0,0,0,0,0,0
"07/04/2000",7.00677422234933e-05,0,0,0,0,0,0.0173176188632799,0.0173176188632799,0.127530319595091,1.14134077904573,0.157386935524375,0,0,0,0,0,0,0,0,0,0
"07/05/2000",6.39062119655554e-05,0,0,0,0,0,0.0166741423436017,0.0166741423436017,0.124368802135764,1.09893160038986,0.147898705651646,0,0,0,0,0,0,0,0,0,0
"07/06/2000",5.80658678595599e-05,0,0,0,0,0,0.0160642087489062,0.0160642087489062,0.121372087182398,1.05873311296316,0.138905074995993,0,0,0,0,0,0,0,0,0,0
"07/07/2000",5.25827614121032e-05,0,0,0,0,0,0.0154915831013587,0.0154915831013587,0.118558672975327,1.02099345557533,0.130461559795676,0,0,0,0,0,0,0,0,0,0
"07/08/2000",4.81025423364774e-05,0,0,0,0,0,0.0150236935256376,0.0150236935256376,0.116259846184539,0.990156568756363,0.123562405415162,0,0,0,0,0,0,0,0,0,0
"07/09/2000",4.32978596995019e-05,0,0,0,0,0,0.014521918750221,0.014521918750221,0.113794535229724,0.957086432636566,0.116163604887257,0,0,0,0,0,0,0,0,0,0
"07/10/2000",0.00340293450350704,0,0,0,0,0,0.0732608226408107,0.0732608226408107,0.337992997938793,4.82835227212967,1.63325920139136,2.32325721332909e-07,2.32325721332909e-07,3.52894969680802e-06,3.68528775871025e-05,5.01576673065716e-06,0.0123008226408164,0.0123008226408164,0.158830273721575,1.83491910324017,0.302457693816954
"07/11/2000",4.08103057282095e-05,0,0,0,0,0,0.014262132219124,0.014262132219124,0.112518156638362,0.939964854657013,0.112332984422473,0,0,0,0,0,0,0,0,0,0
"07/12/2000",3.64480734022942e-05,0,0,0,0,0,0.0138065645342146,0.0138065645342146,0.11027986954365,0.909940058493783,0.105615519550299,0,0,0,0,0,0,0,0,0,0
"07/13/2000",0.00811814385553325,0,0,0,0,0,0.0240410405316624,0.0874394405316679,0.220274751565458,3.10967457030091,0.700891812364713,6.67835767692019e-07,6.67835767692019e-07,1.01442010656117e-05,0.000105936052426049,1.44181557079192e-05,0.0264794405316736,0.0264794405316736,0.267082475051572,3.60006735539793,0.972035815988752
"07/14/2000",3.52157673507066e-05,0,0,0,0,0,0.013677869230279,0.013677869230279,0.109647566051785,0.901458222762609,0.103717873575753,0,0,0,0,0,0,0,0,0,0
"07/15/2000",6.40241987152659e-05,0,0,0,0,0,0.0166864642344135,0.0166864642344135,0.12442934183184,1.09974369104559,0.148080395159987,0,0,0,0,0,0,0,0,0,0
"07/16/2000",0.0140925340187231,0,0,0,0,0,0.0346377505289101,0.0980361505289156,0.303830475557993,4.5608706817462,1.3903425073721,1.21964730832279e-06,1.21964730832279e-06,1.85260330807322e-05,0.000193467656939508,2.63314210631679e-05,0.0370761505289212,0.0370761505289212,0.334818737315742,4.78390256690068,1.60478955241942
"07/17/2000",3.45996143249129e-05,0,0,0,0,0,0.0136135215783111,0.0136135215783111,0.109331414305852,0.897217304897022,0.10276905058848,0,0,0,0,0,0,0,0,0,0
"07/18/2000",3.06028131817628e-05,0,0,0,0,0,0.0131961175274056,0.0131961175274056,0.107280632102966,0.869707733956675,0.0966143184985198,0,0,0,0,0,0,0,0,0,0
"07/19/2000",2.68770538215814e-05,0,0,0,0,0,0.0128070195978516,0.0128070195978516,0.10536892303503,0.844063715714427,0.0908769675840564,0,0,0,0,0,0,0,0,0,0
