"","depth_cm","prob_fit"
"1",0,0.00436006402428744
"2",0.5,0.00480820718495615
"3",1,0.00529673611172097
"4",1.5,0.00582864899598004
"5",2,0.00640711539842206
"6",2.5,0.00703544669407271
"7",3,0.00771712442454819
"8",3.5,0.00845579115882782
"9",4,0.00925523411900466
"10",4.5,0.0101194196490954
"11",5,0.011052440238824
"12",5.5,0.0120585687461135
"13",6,0.0131421921512457
"14",6.5,0.0143078620655714
"15",7,0.0155602400122244
"16",7.5,0.0169041207283824
"17",8,0.0183444037443179
"18",8.5,0.0198860848226291
"19",9,0.0215342491681036
"20",9.5,0.0232940414576779
"21",10,0.0251706655350582
"22",10.5,0.0271693497164254
"23",11,0.0292953378006585
"24",11.5,0.0315538588906807
"25",12,0.0339501090187913
"26",12.5,0.0364892172251669
"27",13,0.0391762338272733
"28",13.5,0.042016072399202
"29",14,0.0450135258308925
"30",14.5,0.0481731682021551
"31",15,0.051499405141962
"32",15.5,0.0549963448276835
"33",16,0.0586678567966354
"34",16.5,0.0625174557068918
"35",17,0.0665483155567017
"36",17.5,0.0707632229358255
"37",18,0.0751644965887066
"38",18.5,0.079754050136901
"39",19,0.0845331972810857
"40",19.5,0.0895028194880295
"41",20,0.0946630957176946
"42",20.5,0.100013705003427
"43",21,0.105553579190305
"44",21.5,0.11128103247599
"45",22,0.117193645968989
"46",22.5,0.123288232054366
"47",23,0.129560911965274
"48",23.5,0.136006902165983
"49",24,0.142620765756222
"50",24.5,0.149396061227423
"51",25,0.156325685632544
"52",25.5,0.163401555571504
"53",26,0.170614838236187
"54",26.5,0.177955768362809
"55",27,0.185413783785489
"56",27.5,0.192977562307065
"57",28,0.200634783180314
"58",28.5,0.208372446204436
"59",29,0.216176794678525
"60",29.5,0.224033436738366
"61",30,0.231926837610115
"62",30.5,0.239841241903851
"63",31,0.247760259568089
"64",31.5,0.255666648413222
"65",32,0.263542778396158
"66",32.5,0.271370691001711
"67",33,0.279131906551278
"68",33.5,0.286807645410074
"69",34,0.294378882590709
"70",34.5,0.301826465728273
"71",35,0.309131091884566
"72",35.5,0.316273472083854
"73",36,0.323234381244744
"74",36.5,0.329994771022274
"75",37,0.336535789491042
"76",37.5,0.34283897881682
"77",38,0.348886210946182
"78",38.5,0.354659964969191
"79",39,0.360143184567792
"80",39.5,0.365319602031772
"81",40,0.370173600045365
"82",40.5,0.374690449915755
"83",41,0.37885631500761
"84",41.5,0.382658279453759
"85",42,0.386084583705606
"86",42.5,0.389124388681504
"87",43,0.391768239685194
"88",43.5,0.394007634440967
"89",44,0.395835573625588
"90",44.5,0.397246126613851
"91",45,0.398234843218289
"92",45.5,0.398798532831095
"93",46,0.398935360986758
"94",46.5,0.39864495643507
"95",47,0.397928145914092
"96",47.5,0.396787361329033
"97",48,0.395226114567931
"98",48.5,0.39324953475797
"99",49,0.390863805439418
"100",49.5,0.388076587003281
"101",50,0.38489664416702
"102",50.5,0.381333983873986
"103",51,0.377399773029797
"104",51.5,0.373106165858403
"105",52,0.368466475753886
"106",52.5,0.363494789690016
"107",53,0.358206251482817
"108",53.5,0.352616636774331
"109",54,0.346742582786378
"110",54.5,0.340601263343509
"111",55,0.334210463676784
"112",55.5,0.327588421116358
"113",56,0.320753759489301
"114",56.5,0.313725401753953
"115",57,0.306522457497295
"116",57.5,0.299164213518152
"117",58,0.291669974900878
"118",58.5,0.28405894891711
"119",59,0.276350270745394
"120",59.5,0.268562966933539
"121",60,0.260715641924232
"122",60.5,0.252826494335764
"123",61,0.244913608986073
"124",61.5,0.236994341460901
"125",62,0.229085570087953
"126",62.5,0.221203564111486
"127",63,0.213364084443678
"128",63.5,0.205582046060466
"129",64,0.197871732944587
"130",64.5,0.190246665171981
"131",65,0.182719556146812
"132",65.5,0.175302368850418
"133",66,0.168006137174424
"134",66.5,0.160841213172486
"135",67,0.153816924562415
"136",67.5,0.146941927169459
"137",68,0.140223872019732
"138",68.5,0.133669693212824
"139",69,0.127285413456132
"140",69.5,0.121076262536733
"141",70,0.115046697830009
"142",70.5,0.109200318870561
"143",71,0.103540083348691
"144",71.5,0.0980680786214754
"145",72,0.0927858371330482
"146",72.5,0.0876940828352853
"147",73,0.0827930152288236
"148",73.5,0.0780821501290466
"149",74,0.0735604780450508
"150",74.5,0.0692264523482897
"151",75,0.06507800505456
"152",75.5,0.0611126644157743
"153",76,0.057327470272855
"154",76.5,0.0537191571681449
"155",77,0.050284042682873
"156",77.5,0.0470181993702684
"157",78,0.0439173819607142
"158",78.5,0.0409771391754527
"159",79,0.0381928032454249
"160",79.5,0.035559539141604
"161",80,0.0330723808472713
"162",80.5,0.0307262433385321
"163",81,0.0285159746483668
"164",81.5,0.026436359970277
"165",82,0.0244821649813542
"166",82.5,0.0226481474377389
"167",83,0.0209290865133078
"168",83.5,0.0193197961857396
"169",84,0.0178151538580826
"170",84.5,0.016410100245367
"171",85,0.0150996799134284
"172",85.5,0.0138790187364565
"173",86,0.01274338221906
"174",86.5,0.0116881341347854
"175",87,0.0107087926187869
"176",87.5,0.00980099997688683
"177",88,0.00896055933299433
"178",88.5,0.0081834173534342
"179",89,0.00746566290252565
"180",89.5,0.00680358155403424
"181",90,0.0061935680276569
"182",90.5,0.00560838707238406
"183",91,0.00502320611711121
"184",91.5,0.00443802516183836
"185",92,0.00385284420656552
"186",92.5,0.00326766325129267
"187",93,0.0026824822960198
"188",93.5,0.00209730134074695
"189",94,0.00151212038547411
"190",94.5,0.000926939430201261
"191",95,0.000341758474928414
"192",95.5,-0.000243422480344432
"193",96,-0.000828603435617279
"194",96.5,-0.00141378439089013
"195",97,-0.00199896534616297
"196",97.5,-0.00258414630143582
"197",98,-0.00316932725670866
"198",98.5,-0.00375450821198153
"199",99,-0.00433968916725438
"200",99.5,-0.00492487012252723
"201",100,-0.00551005107780007
"202",100.5,-0.00609523203307292
"203",101,-0.00668041298834577
"204",101.5,-0.00726559394361861
"205",102,-0.00785077489889146
"206",102.5,-0.00843595585416431
"207",103,-0.00902113680943715
"208",103.5,-0.00960631776471
"209",104,-0.0101914987199828
"210",104.5,-0.0107766796752557
"211",105,-0.0113618606305286
"212",105.5,-0.0119470415858014
"213",106,-0.0125322225410743
"214",106.5,-0.0131174034963471
"215",107,-0.0137025844516199
"216",107.5,-0.0142877654068928
"217",108,-0.0148729463621656
"218",108.5,-0.0154581273174385
"219",109,-0.0160433082727113
"220",109.5,-0.0166284892279842
"221",110,-0.017213670183257
"222",110.5,-0.0177988511385299
"223",111,-0.0183840320938027
"224",111.5,-0.0189692130490756
"225",112,-0.0195543940043484
"226",112.5,-0.0201395749596213
"227",113,-0.0207247559148941
"228",113.5,-0.021309936870167
"229",114,-0.0218951178254398
"230",114.5,-0.0224802987807127
"231",115,-0.0230654797359855
"232",115.5,-0.0236506606912584
"233",116,-0.0242358416465312
"234",116.5,-0.0248210226018041
"235",117,-0.0254062035570769
"236",117.5,-0.0259913845123498
"237",118,-0.0265765654676226
"238",118.5,-0.0271617464228955
"239",119,-0.0277469273781683
"240",119.5,-0.0283321083334412
"241",120,-0.028917289288714
"242",120.5,-0.0295024702439869
"243",121,-0.0300876511992597
"244",121.5,-0.0306728321545326
"245",122,-0.0312580131098054
"246",122.5,-0.0318431940650783
"247",123,-0.0324283750203511
"248",123.5,-0.033013555975624
"249",124,-0.0335987369308968
"250",124.5,-0.0341839178861696
"251",125,-0.0347690988414425
"252",125.5,-0.0353542797967153
"253",126,-0.0359394607519882
"254",126.5,-0.036524641707261
"255",127,-0.0371098226625339
"256",127.5,-0.0376950036178067
"257",128,-0.0382801845730796
"258",128.5,-0.0388653655283524
"259",129,-0.0394505464836253
"260",129.5,-0.0400357274388981
"261",130,-0.040620908394171
"262",130.5,-0.0412060893494438
"263",131,-0.0417912703047167
"264",131.5,-0.0423764512599895
"265",132,-0.0429616322152624
"266",132.5,-0.0435468131705352
"267",133,-0.0441319941258081
"268",133.5,-0.0447171750810809
"269",134,-0.0453023560363538
"270",134.5,-0.0458875369916266
